               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036252,            0.017549,            0.093159,           0.0036804,             0.71692,           0.0042356,            0.001532,            0.021337,           0.0085078,            0.046057,            0.070059,           0.0033268,           0.0033268
                   1,            0.022531,            0.010838,            0.091378,           0.0036543,              0.7167,           0.0041637,           0.0014866,            0.020512,            0.010072,            0.045922,            0.039927,           0.0065282,           0.0065282
                   2,            0.021312,           0.0096825,            0.090571,             0.00378,             0.74427,           0.0046501,           0.0017827,            0.019685,             0.01171,            0.045768,           0.0096632,           0.0095977,           0.0095977
                   3,            0.018829,           0.0093466,            0.090291,           0.0037093,             0.73321,           0.0044665,           0.0016588,            0.020337,            0.012296,            0.045725,            0.009406,            0.009406,            0.009406
                   4,            0.016864,           0.0087001,            0.088801,           0.0037741,             0.74647,           0.0045715,           0.0016847,            0.019807,            0.013635,            0.045759,            0.009406,            0.009406,            0.009406
                   5,            0.015798,           0.0084403,            0.089908,           0.0037666,             0.73919,           0.0047822,           0.0018259,            0.020313,             0.01363,            0.045683,            0.009208,            0.009208,            0.009208
                   6,            0.014365,           0.0082766,            0.089535,           0.0037561,             0.73968,           0.0045933,           0.0016676,            0.020015,              0.0139,            0.045711,             0.00901,             0.00901,             0.00901
                   7,             0.01354,           0.0079403,            0.089049,           0.0037694,             0.74217,           0.0044829,           0.0017228,            0.020092,            0.014033,            0.045661,            0.008812,            0.008812,            0.008812
                   8,            0.013954,            0.007888,            0.090415,           0.0037678,              0.7413,           0.0048715,           0.0018301,            0.019749,            0.014477,            0.045627,            0.008614,            0.008614,            0.008614
                   9,            0.013244,           0.0077165,             0.08966,           0.0037711,             0.74022,           0.0045452,           0.0017248,            0.019685,            0.015168,            0.045616,            0.008416,            0.008416,            0.008416
                  10,            0.012619,           0.0076601,            0.088728,           0.0037616,             0.74097,           0.0047671,           0.0017946,            0.019748,            0.014889,            0.045529,            0.008218,            0.008218,            0.008218
                  11,            0.012117,           0.0075373,            0.087748,           0.0037665,             0.74028,           0.0046049,           0.0017272,            0.019961,            0.014118,             0.04549,             0.00802,             0.00802,             0.00802
                  12,            0.012711,           0.0074674,            0.089153,           0.0037547,             0.73651,            0.004572,           0.0017252,            0.019796,            0.014492,            0.045554,            0.007822,            0.007822,            0.007822
                  13,            0.011968,           0.0074348,            0.088523,           0.0037531,             0.73899,           0.0044974,           0.0016437,            0.019833,            0.014851,            0.045581,            0.007624,            0.007624,            0.007624
                  14,            0.012005,           0.0074039,            0.088444,           0.0037833,             0.74318,            0.004402,           0.0016329,            0.019729,            0.014215,            0.045703,            0.007426,            0.007426,            0.007426
                  15,            0.011955,            0.007381,            0.087365,           0.0037711,             0.74017,           0.0046053,           0.0016881,            0.019945,            0.014055,            0.045941,            0.007228,            0.007228,            0.007228
                  16,             0.01287,           0.0074725,            0.088098,           0.0037398,             0.73325,           0.0043926,           0.0015891,             0.01983,            0.014697,            0.046129,             0.00703,             0.00703,             0.00703
                  17,            0.011759,           0.0072568,            0.084223,           0.0037611,             0.73784,           0.0043552,           0.0015794,            0.019707,            0.015341,            0.046277,            0.006832,            0.006832,            0.006832
                  18,            0.012342,           0.0072392,            0.085015,           0.0037643,              0.7355,           0.0043868,           0.0015834,            0.019618,            0.014928,            0.046337,            0.006634,            0.006634,            0.006634
                  19,            0.012649,           0.0073519,             0.08463,           0.0037481,             0.72658,           0.0042993,           0.0015579,            0.019652,            0.014335,            0.046707,            0.006436,            0.006436,            0.006436
                  20,            0.012747,           0.0073462,            0.082403,            0.003744,             0.72391,           0.0043066,           0.0015747,             0.01984,            0.015136,            0.046893,            0.006238,            0.006238,            0.006238
                  21,            0.012562,           0.0073214,            0.081032,           0.0037694,             0.72084,           0.0043612,           0.0016039,            0.019603,            0.014208,            0.047175,             0.00604,             0.00604,             0.00604
                  22,            0.011928,           0.0072394,            0.079221,           0.0037438,             0.71823,           0.0042807,           0.0015526,            0.019543,            0.014609,            0.047292,            0.005842,            0.005842,            0.005842
                  23,            0.012424,           0.0072613,            0.079526,           0.0037512,             0.71674,           0.0045308,           0.0016137,            0.019792,            0.015317,            0.047627,            0.005644,            0.005644,            0.005644
                  24,            0.012489,           0.0072637,             0.07807,           0.0037511,              0.6942,           0.0044507,           0.0016615,            0.019763,            0.014209,            0.048122,            0.005446,            0.005446,            0.005446
                  25,            0.012576,           0.0072338,            0.078644,           0.0037742,             0.69394,           0.0045754,           0.0017571,            0.019599,            0.014307,            0.048349,            0.005248,            0.005248,            0.005248
