               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010863,           0.0071076,            0.089161,            0.005082,             0.99879,           0.0099862,           0.0092645,            0.003178,           0.0020872,            0.043994,            0.070059,           0.0033268,           0.0033268
                   1,            0.011252,            0.007158,            0.089192,           0.0050773,             0.99855,            0.010353,           0.0091042,           0.0037614,           0.0020732,            0.043999,            0.039619,           0.0062206,           0.0062206
                   2,            0.012338,           0.0073004,            0.088632,           0.0050744,             0.99826,            0.010629,           0.0094985,           0.0037781,            0.002247,            0.044021,           0.0087398,           0.0086743,           0.0086743
                   3,            0.012974,            0.007504,             0.08883,           0.0050777,             0.99896,            0.012199,            0.010649,           0.0038436,           0.0023865,            0.043937,             0.00802,             0.00802,             0.00802
                   4,            0.012631,           0.0073716,            0.087529,           0.0050706,             0.99923,            0.012589,            0.011094,           0.0036912,           0.0021715,            0.043813,             0.00802,             0.00802,             0.00802
                   5,            0.012482,           0.0073385,             0.08855,           0.0050768,             0.99912,            0.016121,            0.014063,           0.0033736,           0.0022205,            0.043487,             0.00736,             0.00736,             0.00736
