               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040881,            0.045624,           0.0070872,             0.90951,             0.82817,             0.90686,             0.62783,            0.034776,            0.024619,           0.0036735,            0.006535,            0.006535,            0.006535
                  37,            0.039851,            0.045293,           0.0070338,             0.90686,             0.83599,             0.90663,             0.62591,            0.035106,            0.024352,           0.0037218,            0.006436,            0.006436,            0.006436
                  38,            0.039085,             0.04516,           0.0064544,             0.91098,             0.84046,             0.91413,             0.64426,            0.033693,            0.024217,           0.0037499,            0.006337,            0.006337,            0.006337
                  39,            0.039883,            0.044089,           0.0064766,             0.90261,              0.8504,             0.91925,             0.64591,            0.033645,            0.024594,           0.0037008,            0.006238,            0.006238,            0.006238
                  40,            0.037704,            0.043571,           0.0074144,             0.87533,             0.83918,             0.90639,             0.63159,            0.034377,            0.024498,           0.0035975,            0.006139,            0.006139,            0.006139
                  41,            0.039162,            0.042046,           0.0071259,             0.89477,             0.85789,             0.91723,             0.65701,            0.033114,            0.024097,            0.003446,             0.00604,             0.00604,             0.00604
                  42,            0.038511,            0.042618,           0.0066377,             0.87995,             0.86744,             0.91805,              0.6335,             0.03314,            0.024525,           0.0034566,            0.005941,            0.005941,            0.005941
                  43,             0.03681,            0.043864,           0.0063512,             0.90239,              0.8675,              0.9253,             0.64961,            0.032968,            0.023964,           0.0033704,            0.005842,            0.005842,            0.005842
                  44,            0.038998,            0.044083,           0.0070295,             0.90781,             0.84292,             0.90433,             0.64504,            0.032716,            0.023638,           0.0033929,            0.005743,            0.005743,            0.005743
                  45,             0.03802,            0.037209,           0.0067522,             0.90043,             0.86345,             0.92816,             0.65222,             0.03227,            0.023612,           0.0034447,            0.005644,            0.005644,            0.005644
                  46,              0.0375,            0.041772,           0.0059771,             0.89133,             0.86381,             0.92489,             0.66167,            0.032597,            0.023348,           0.0034231,            0.005545,            0.005545,            0.005545
                  47,            0.035284,            0.040711,           0.0062748,             0.86978,             0.90063,             0.92819,              0.6519,            0.031937,            0.023076,           0.0034055,            0.005446,            0.005446,            0.005446
                  48,            0.037231,            0.038839,           0.0059909,             0.87749,             0.88852,             0.92534,             0.65849,            0.032513,            0.022963,           0.0033803,            0.005347,            0.005347,            0.005347
                  49,             0.03576,            0.039221,           0.0060367,             0.89152,             0.87216,             0.92596,             0.66525,            0.032116,            0.022706,           0.0033395,            0.005248,            0.005248,            0.005248
                  50,            0.037259,            0.037835,           0.0066717,             0.91316,              0.8549,             0.92764,              0.6671,            0.032352,            0.022807,           0.0033517,            0.005149,            0.005149,            0.005149
                  51,            0.037686,            0.043306,           0.0066601,             0.91519,             0.86531,             0.93186,             0.67385,            0.031029,            0.022847,           0.0033097,             0.00505,             0.00505,             0.00505
                  52,            0.036702,            0.040707,           0.0058958,             0.90138,             0.88315,             0.93329,             0.68359,            0.031143,            0.022542,           0.0032652,            0.004951,            0.004951,            0.004951
                  53,             0.03537,            0.037854,           0.0063556,             0.91359,             0.87935,             0.93656,             0.68208,            0.030586,            0.022201,           0.0032657,            0.004852,            0.004852,            0.004852
                  54,            0.036848,            0.036807,           0.0075758,             0.89338,             0.87195,             0.92666,             0.67744,            0.030209,            0.022149,           0.0032374,            0.004753,            0.004753,            0.004753
                  55,             0.03624,            0.039597,           0.0065655,             0.90209,             0.86965,             0.92779,             0.66641,            0.030888,            0.022379,           0.0031763,            0.004654,            0.004654,            0.004654
                  56,            0.035386,            0.039511,           0.0064057,             0.91257,             0.86372,             0.92793,             0.67493,             0.03059,            0.022257,           0.0031209,            0.004555,            0.004555,            0.004555
                  57,            0.035744,            0.035143,           0.0066784,             0.89142,             0.88733,             0.93377,             0.66709,            0.030831,            0.022189,           0.0031168,            0.004456,            0.004456,            0.004456
                  58,              0.0348,            0.043278,           0.0068631,             0.86084,              0.9103,              0.9329,             0.70135,            0.029385,            0.021737,           0.0030799,            0.004357,            0.004357,            0.004357
                  59,            0.034862,            0.036094,           0.0055049,             0.91445,              0.8779,              0.9419,             0.69249,            0.029469,            0.021614,           0.0030362,            0.004258,            0.004258,            0.004258
                  60,            0.034844,            0.037441,           0.0061592,             0.91145,             0.88108,             0.94101,             0.69818,            0.029822,            0.021525,            0.002979,            0.004159,            0.004159,            0.004159
                  61,            0.034446,             0.04058,           0.0057298,             0.93674,             0.86103,             0.94427,             0.69734,            0.029137,            0.021392,           0.0029438,             0.00406,             0.00406,             0.00406
                  62,            0.036077,             0.03787,           0.0065578,             0.93663,             0.87657,             0.95174,             0.70781,             0.02916,            0.021266,           0.0029117,            0.003961,            0.003961,            0.003961
                  63,            0.033858,             0.03967,           0.0052644,               0.928,             0.87365,             0.94725,              0.7083,            0.029159,            0.021126,           0.0028931,            0.003862,            0.003862,            0.003862
                  64,            0.035164,            0.038231,           0.0050817,             0.93513,             0.87768,             0.94968,              0.7182,            0.028688,            0.020966,           0.0028861,            0.003763,            0.003763,            0.003763
                  65,            0.033874,            0.040664,           0.0056476,             0.91378,             0.87776,             0.94464,             0.72817,             0.02848,            0.020991,           0.0028723,            0.003664,            0.003664,            0.003664
                  66,            0.032023,            0.035697,           0.0054298,             0.90704,             0.87589,             0.94429,             0.71904,            0.028214,             0.02086,           0.0028741,            0.003565,            0.003565,            0.003565
                  67,            0.033233,            0.040574,           0.0056366,             0.90697,             0.87921,             0.95177,             0.72314,            0.028058,            0.020829,           0.0028849,            0.003466,            0.003466,            0.003466
                  68,            0.033027,            0.037207,           0.0056549,             0.90789,             0.89304,             0.94906,             0.73526,            0.028154,            0.020658,           0.0028596,            0.003367,            0.003367,            0.003367
                  69,            0.032655,            0.041536,           0.0058037,             0.90655,             0.88428,             0.94859,             0.73499,            0.027268,            0.020562,           0.0028389,            0.003268,            0.003268,            0.003268
                  70,            0.033236,            0.045965,           0.0053311,              0.9114,             0.89952,             0.95379,             0.73069,            0.026975,             0.02046,             0.00282,            0.003169,            0.003169,            0.003169
                  71,            0.031917,            0.039418,           0.0051776,             0.90977,             0.89298,              0.9478,             0.72695,            0.027213,            0.020361,           0.0027919,             0.00307,             0.00307,             0.00307
                  72,            0.033463,            0.039844,           0.0053876,              0.8919,             0.91318,              0.9529,             0.72094,            0.027201,            0.020173,            0.002794,            0.002971,            0.002971,            0.002971
                  73,            0.031603,            0.039172,           0.0055204,             0.87537,             0.92911,             0.95412,             0.73201,            0.027136,            0.020029,           0.0027711,            0.002872,            0.002872,            0.002872
                  74,            0.032958,            0.038848,           0.0053253,             0.92183,             0.88549,             0.95507,             0.73986,            0.026687,            0.019837,           0.0027494,            0.002773,            0.002773,            0.002773
                  75,            0.033104,            0.041968,           0.0053631,             0.91894,             0.89263,             0.95553,             0.74092,            0.026512,            0.019728,           0.0027016,            0.002674,            0.002674,            0.002674
                  76,            0.032937,            0.034613,           0.0050034,             0.92237,             0.88375,             0.94862,             0.73387,            0.026839,            0.019869,           0.0026694,            0.002575,            0.002575,            0.002575
                  77,            0.031521,            0.035585,           0.0045519,             0.92942,             0.88224,              0.9525,             0.73798,            0.026178,            0.019736,           0.0026552,            0.002476,            0.002476,            0.002476
                  78,            0.030926,            0.037454,           0.0047968,             0.91996,             0.88451,              0.9511,             0.73451,            0.026462,            0.019737,           0.0026413,            0.002377,            0.002377,            0.002377
                  79,            0.032483,            0.038275,           0.0049489,             0.90932,             0.89377,             0.95202,             0.74639,            0.025964,            0.019598,           0.0026162,            0.002278,            0.002278,            0.002278
